back	adv.回原处?n.背?后面?adj.后面的?v.后退
altogether	adj.完全地? 总而言之
spectacular	adj.引人入胜的? 壮观的?adj.壮观的，引人注目的?n.壮观的场面； 壮观的演出
mathematician	n.数学家
kerosene	n.煤油?n.煤油， 火油
underwater	adj.在水中生长的
horizontal	adj.地平线的? 水平的?adj.水平的； 与地面平行的
eleven	n.十一
breath	n.呼吸? 气息
naturalistic	adj.自然的? 自然主义的
cenozoic	n.新生代?新生代之岩层 a新生界的
plantation	n.种植园?人工林?n.种植园； 人造林
chamber	n.室? 会议厅?n.会议厅； 议院； 洞穴； 腔， 室； 房间
tomb	n.坟墓
Italy	n.意大利(欧洲南部国家)
totally	adv.完全地? 整全地
reasonable	adj.合理的?通情达理的?adj.合理的， 适当的； 通情达理的； 公道的
consideration	n.考虑? 体贴?n.考虑， 思考； 体谅， 照顾； 考虑因素， 理由； 报酬
wilderness	n.荒野
fur	n.毛皮
woodcut	n.木刻
delta	n.三角州?n.三角洲； 希腊字母表的第四个字母
putrefy	v.(使)化脓? (使)腐烂
trip	n.旅行，旅游
preparation	n.准备?预备
gray	adj.灰色的? 暗淡的
bury	v.埋葬? 掩埋
thank	v.感谢
conquest	n.征服 战利品
deplete	v.耗尽? 使衰竭?vt.使枯竭， 耗尽
toddler	n.初学走路的孩子
Amsterdam	n.阿姆斯特丹(荷兰首都)
carrier	n.运送者
soda	n.苏打? 碳酸水?n.苏打， 纯碱
remind	v.提醒? 使想起?vt.提醒； 使想起； 使发生联想
reproductive	adj.生殖的?再生的?复制的
abigail	n.(贵妇人的贴身)使女
zigzag	n.Z字形? 锯齿形?vi.曲折行进?adj.之字形的，弯弯曲曲的?n.之字形
argon	n.[化]氩
genetically	adv.遗传(基因)方面
himself	pron.他自己
occasion	n.场合?时机
robin	n.知更鸟
psychologist	n.心理学者
tourist	n.旅行者
Marseille	n.马赛(法国港口城市)
diver	n.潜水者
worksheet	n.工作记录表
broadcast	n&v.广播? 播音?v.广播，播放?n.广播， 广播节目
sphere	n.球? 范围?n.球； 范围， 领域； 阶层
seabed	n.海底? 海床
angiosperm	n.被子植物
circadian	adj.昼夜节律的?生理节奏的
seaway	n.海上航道
oversea	adj.外国的? 海外的
moth	n.蛾? 蛀虫?n.蛾
honor	n&v.尊敬
zoologist	n.动物学家
library	n.图书馆
decomposition	n.分解? 腐烂
catalog	n.目录?v.编目录
door	n.门
observer	n.观测者? 观察员
Caledonian	n&a.古苏格兰人(的)? 苏格兰人（的）?n&a.苏格兰人(的)
wetland	n.潮湿的土壤? 沼泽地
coma	n.昏迷
cooler	n.冷却器
advent	n.出现，到来?n.到来， 来临； 出现
synthetic	adj.合成的? 综合的?adj.合成的，综合的；人造的
exposure	n.暴露? 揭露?n.暴露， 显露； 揭露； 曝光； 面临， 遭受
chondrite	n.球粒状陨石
digestive	adj.消化的
northeast	n&a.东北(的)
sketch	n.略图 v素描；概述
embryo	n.胚胎?n.胚， 胚胎； 雏形
allende	n.阿连德(在墨西哥? 西经 100o01' 北纬 25o20')
loan	n.贷款?v.借出，贷给?n.贷款；出借，借出；暂借的东西?vt.借出； 贷给
hinterland	n.内地? 穷乡僻壤?n.内地， 腹地； 内地贸易区
mechanize	v.机械化?vt.使机械化
finch	n.雀类
morning	n.早晨? 上午
tin	n.锡
Oregon	n.俄勒冈州(美国州名)
couple	n.夫妇 v结合?n.对，双；夫妇，情侣；几个人，几件事?vt.连接， 结合
willing	adj.乐意的? 自愿的
steppe	n.特指西伯利亚一带没有树木的大草原
patch	n.补丁 vt补?修补?vt.修补，打补丁?n.小片， 小块； 补丁； 小块土地
noticeable	adj.显而易见的?adj.明显的， 值得注意的
mad	adj.疯狂的?狂热的
spirit	n.精神? 灵魂
viewer	n.电视观众?阅读器
fin	n.鳍? 鱼翅?n.鳍； 鳍状物； 翼
stamp	n.邮票?图章?v.跺脚?盖章
subtractive	adj.减去的?负的
undoubtedly	adv.无庸置疑地?的确地
quilt	n.被子?v.缝被?缝制?v.缝被；缝制?n.被褥
suppose	v.推想? 假设?v.假设， 推测； 认为， 料想； 要不
mandan	n.曼丹人? 曼丹语
moderate	adj.中等的? 适度的?adj.适度的； 温和的； 普通的?v.缓和，使适中?n.持温和意见的人
territorial	adj.领土的
predominate	v.占优势? 支配?vi.统治， 支配， 占优势
inform	v.通知? 告诉?vt.通知， 通告； 了解， 熟悉； 告发， 检举， 告密
chiefly	adv.首要?主要地
craftspeople	n.工匠? 手艺人
likewise	adv.同样地? 此外?adv.同样； 也
intelligence	n.智力? 聪明?n.智力， 智慧； 情报
visitor	n.访问者? 来宾
unskilled	adj.不熟练的?拙劣的
progressively	adv.日益增多地
thickness	n.厚度? 浓度? 稠密
termite	n.白蚁
sure	adj.对有把握 ad的确? 当然
wrap	v.包，裹 n披肩，围巾?vt.包，裹?n.披肩， 围巾； 包装材料
inability	n.无能? 无力
jump	n&v.跳跃
reindeer	n.驯鹿
kingdom	n.王国?n.王国； 领域， 界
slush	n.烂泥 v溅湿
seldom	adv.很少? 不常
father	n.父亲
voyager	n.航行者? 航海者
phonograph	n.留声机? 电唱机
welcome	vt& n.欢迎 a受欢迎的
Eurasia	n.欧亚大陆
Italian	n&a.意大利人(的)? 意大利语（的）
railway	n.铁路
cobalt	n.[化]钴
wish	n.愿望v希望? 想要
wale	n.条痕
tongue	n.舌头
concur	v.同时发生?v.同时发生； 意见一致
uncommon	adj.不凡的? 难得的
simplification	n.简化
chemically	adv.用化学? 以化学方法
rotation	n.旋转
fluke	n.侥幸，偶然的机会
basically	adv.基本上? 主要地
circulate	v.(使)循环?传播?v.循环； 流通； 传播， 流传
feedback	n.反馈? 反应?n.反馈； 反馈信息
cure	n&v.治愈? 治疗
Norway	n.挪威(北欧国家)
encouragement	n.鼓励? 奖励
bombard	v.炮轰；轰击
praise	v&n.赞扬?称赞
editor	n.编辑?编者
Oceania	n.大洋洲
temporary	adj.暂时的? 临时的?adj.暂时的， 临时的
backbone	n.脊梁骨；支柱
medical	adj.医学的，医疗的
orderly	adj.整齐的，有秩序的
chemist	n.化学家? 药剂师
removal	n.除去，移动?n.除去； 移动， 搬迁
potassium	n.钾
cascade	n.小瀑布?vi.倾泻，流注?n.小瀑布； 倾泻
reconstruction	n.重建? 改造?n.复兴； 改造， 再建
restless	adj.得不到休息的? 不安宁的
accordingly	adv.因此? 相应地? 于是
silicate	n.硅酸盐
boil	n.沸点 v煮沸? 激动
journeyman	n.熟练工人
chondrule	n.陨石球粒
accessible	adj.可得到的?易接近的?adj.易接近的； 可得到的； 可进入的
bacterial	adj.细菌的
medicine	n.药
homo	n.人? 同性恋者
incubation	n.孵化? 熟虑
northeastern	adj.东北方的? 在东北的
waterway	n.水路? 排水沟
excavation	n.挖掘? 发掘?n.挖掘， 发掘； 出土文物； 挖掘现场
mutualism	n.互助论?互利共生
weaken	v.削弱? (使)变弱
wolf	n.狼
smoke	v.抽烟? 吸烟
capillary	n&a.毛细管；毛状的?adj.毛状的； 毛细血管的?n.毛细血管
behavioral	adj.行为的
pleasant	adj.令人愉快的?舒适的
thread	n.线(索)?思路 vt穿(过)，通过?v.穿；穿过，通过?n.线； 线索； 思路
repair	n.修理 vt修理(补)
specify	v.指定? 详细说明?vt.使具体化； 明确规定， 详细说明
besides	prep.除之外?adv.此外? 也?adv.而且， 还有?prep.除…之外
surrounding	n.围绕物?环境 a周围的
tobacco	n.烟草(制品)
agreement	n.同意? 一致
costly	adj.昂贵的，代价高的
director	n.主管?导演
gift	n.赠品? 天赋
repeatedly	adv.重复地? 再三地
tentacle	n.(动物)触角?n.触角， 触须， 触手
stagecoach	n.公共马车?n.公共马车， 驿站马车
attraction	n.吸引(力)；具有吸引力的事物(或人)
locally	adv.在本地? 地方性地? 局部地
adjustment	n.调整? 调节
figurative	adj.比喻的，借喻的?adj.比喻的， 借喻的， 象征的； 形象的
inscription	n.题字? 碑铭
appalachian	adj.阿帕拉契山脉的
attend	v.出席? 参加?照料?v.出席， 参加； 照料， 看管； 专心， 注意； 陪同
climb	v.攀登? 爬
effectiveness	n.效力
overcast	v.遮盖?变暗?n.覆盖? 阴天
noisy	adj.吵杂的? 聒噪的
remarkably	adv.非凡地；显著地
cheep	n.吱吱的叫声 v吱吱地叫
flora	n.[罗神]花神?n.植物群
pollinator	n.授花粉器
somehow	adv.以某种方式?不知怎么地
hall	n.会堂? 大厅
efficiently	adv.有效地；能胜任地
jewelry	n.珠宝?n.〈总称〉首饰； 珠宝
differently	adv.不同地，有差别地
church	n.教堂
putt	v.短打?把球轻轻打进洞
reshape	v.改造? 再成形
pond	n.池塘
methane	n.甲烷?沼气?n.甲烷， 沼气
fundamentally	adv.从根本上? 基本地
identity	n.一致? 身份? 特征?n.身份； 特征， 特性； 同一性
cohesive	adj.粘着的?adj.黏着的； 使凝结的， 使内聚的
practically	adv.实际上?几乎，简直
forerunner	n.先驱(者)?n.先驱者， 开路人； 先兆， 预兆
alertness	n.警戒? 机敏
predatory	adj.掠夺的?捕食生物的
humid	adj.充满潮湿的? 湿润的?adj.湿的， 潮湿的； 湿润的
user	n.使用者
moraine	n.冰碛
sandy	adj.沙的? 沙质
jurassic	adj.侏罗纪的
prosper	v.兴旺，繁荣?vi.繁荣， 兴旺； 成功
traditionally	adv.传统上? 照惯例
comment	n.评论，意见 vt评论?v&n.评论； 注释
cavendish	n.(一种压成饼状的)板烟? 烟草饼
actress	n.女演员
examination	n.考试? 检查? 细查
exogenous	adj.外生的?外界产生的
informative	adj.提供消息的? 情报的?adj.提供消息的， 给予知识的； 见闻广博的
ooze	n.软泥 v渗出?v.渗出，慢慢流出；洋溢着，充满?n.泥浆； 缓慢渗出
educator	n.教育家
radically	adv.根本地? 完全地
republic	n.共和国? 共和政体?n.共和国； 共和政体
choreographer	n.舞蹈指导
marriage	n.结婚? 婚姻
severely	adv.严格地? 激烈地
celebrate	v.庆祝? 祝贺?v.赞美； 庆祝
environmentalist	n.环境保护论者? 环境论者? 环境论信奉者
outstanding	adj.优秀的? 突出的?adj.优秀的， 杰出的， 出色的； 未解决的； 未偿付的
endogenous	adj.内生的? 内成的
horseshoe	n.马蹄铁
boy	n.男孩
specifically	adv.特别地；明确地，具体地
vote	n&v.投票
envision	v.想象；预想?vt.想象， 展望， 预想
upside	n.上边?上部
adept	adj.熟练的? 老练的 n老手? 擅长者?adj.熟练的，精通的，内行的?n.行家， 熟手
ease	n.安逸?v.缓和， 减轻?n.不费力，容易；悠闲，自在
capsize	v.(特指船)倾覆
financier	n.财政家? 金融家
rodent	n.啮齿类动物?adj.啮齿目的； 咬的?n.啮齿目动物
seafarer	n.船员? 航海家
repudiate	v.批判
faunal	adj.动物区系的
nighttime	n.夜间
hardly	adv.几乎不?刚刚?adv.几乎不， 简直不； 刚刚， 仅仅
pry	v.探查
simulation	n.仿真? 假装
mat	n.席子，垫子?n.垫子
quick	a&ad.快的? 迅速的
hero	n.英雄
designer	n.设计者
karst	n.石灰岩地区常见的地形
interstellar	adj.星际的
uncover	v.揭露，揭示
gibraltar	n.直布罗陀(海峡)
refill	v.再装满?再充填
fame	n.名声? 名望
caravan	n.旅行队?商队? 大篷车
microorganism	n.微生物
probable	adj.很可能的? 大概的
inequality	n.不平等? 不平均
physicist	n.物理学者? 唯物论者
forget	v.忘记? 忽略
queen	n.王后? 女王
sailor	n.海员? 水手
immobile	adj.不动的? 静止的
calendar	n.日历? 历法?n.日历， 挂历， 月历； 日程表
tune	n.曲调vt调音? 调整
mound	n.土墩，沙土堆?n.土墩， 土丘； 堆， 垛
fashionable	adj.流行的? 时髦的
sect	n.宗派? 教派
vaudeville	n.歌舞杂耍
uncertainty	n.无常? 不确定
carnivore	n.食肉动物
hunger	n.饥饿? 欲望
publication	n.出版(物)? 发行?n.出版， 发行； 出版物； 公布， 发表
sadness	n.悲哀? 悲伤
theorize	v.建立理论? 理论化
tundra	n.苔原? 冻土地带?n.苔原， 冻原， 冻土地带
localize	v.集中?局部化
dependable	adj.可靠的? 可信赖的
anomaly	n.不规则? 异常的人或物?n.反常， 异常； 异常的人
gravitational	adj.重力的? 引力作用的?adj.重力的， 万有引力的
pronounce	v.发音? 宣告
abundantly	adv.大量地? 丰富地
liberate	v.解放? 释放?vt.解放； 释放
pollute	v.弄脏? 污染
cuneiform	a&n.楔形的?楔形文字(的)?adj.〔古代美索不达米亚人使用的〕楔形文字的
gamma	n.100万分之1克? 微克
nebula	n.星云
parasitic	adj.寄生的? 由寄生虫引起的
documentation	n.文件?n.文件； 归档， 文献记录
lithosphere	n.[地]岩石圈?n.岩石圈
richness	n.富饶；富裕
sulfate	n.硫酸盐
alike	adj.相同的? 相似的?adv.一样地，相似地；同样程度地?adj.相同的， 相似的
sport	n.运动?运动会
steamship	n.汽船? 轮船
lithospheric	adj.岩石圈的? 陆界的
hammer	n.槌?锤子 v锤击?v.锤打?n.锤， 槌； 锤子
voter	n.投票者
anywhere	adv.无论何处
April	n.四月
meager	n.兆?adj.不足的， 贫乏的； 消瘦的
lecture	n&v.演讲
tolerance	n.宽容，容忍
triangle	n.三角形?三角关系?n.三角形； 三角形物体
unchanging	adj.不变的
cargo	n.船货?货物?n.货物
reconstruct	v.重建? 改造
conventionally	adv.照惯例
rainy	adj.下雨的，多雨的
wound	n.创伤? 伤口
forbid	v.禁止? 不许
judgment	n.判断
Georgia	n.(美)乔治亚州
ourselves	pron.我们自己
rid	v.使摆脱? 使去掉
prolific	adj.多产的；多子嗣的?adj.多产的； 富有创造力的
coral	n.珊瑚(虫)?adj.珊瑚色的， 红色的?n.珊瑚
barrel	n.桶
liberty	n.自由? 特权
millimeter	n.毫米
exterior	adj.外部的 n外部?adj.外部的，外表的?n.外部， 外表
lifetime	n.一生? 终生
antiquity	n.古代
adobe	n.泥砖，土坯?n.泥砖， 土坯
fifty	num.五十
swing	v.摇摆? 摆动?v.摆动，摇荡；突然转向，突然转身?n.摆动， 摇摆； 秋千
utilitarian	adj.功利的 n功利主义者?adj.实用的；功利主义的?n.功利主义者
alive	adj.活着的? 活泼的
thoroughly	adv.十分地? 彻底地
stunt	n.特技；噱头 v阻碍正常成长?vt.阻碍生长；遏制?n.特技表演； 噱头； 愚蠢行为
accomplishment	n.成就? 完成?n.成就； 完成； 才艺， 技艺
busy	adj.忙碌的
pyramid	n.金字塔(形结构)；锥状物?n.金字塔； 锥体； 金字塔形物； 金字塔式的组织
cannonball	n.炮弹
transitional	adj.变迁的? 过渡期的
amplification	n.扩大
subsurface	adj.地下的? 表面下的n地表下岩石
semiskilled	adj.半熟练的
relax	v.放松?休息
mackerel	n.鲭
midwest	n.中西部
textbook	n.教科书? 课本
sunrise	n.日出
mutoscope	n.(早期的)电影放映机
summarize	v.概述? 总结?v.概括， 总结
fellow	n.家伙? 同事
punishment	n.惩罚? 处罚
goat	n.山羊
cottonwood	n.[植]三叶杨
theorist	n.理论家
resilience	n.弹性，弹力?n.弹力， 弹性； 复原力； 适应力
mutually	adv.互相地? 互助
driver	n.驾驶员，司机
neon	n.[化]氖?n.氖； 霓虹灯
cash	n.现金 vt兑现
dog	n.狗? 犬
bladder	n.膀胱? 气泡
cry	v&n.哭
tale	n.故事?传说
wed	v.娶? 嫁? 结婚
advancement	n.前进? 进步
thirteen	num.十三
respiration	n.呼吸? 呼吸作用
cheaply	adv.廉价地；粗俗地
safety	n.安全? 保险
soap	n.肥皂
quiet	adj.安静的? 宁静的
corona	n.冠壮物?n.日冕， 日华； 光环
speculative	adj.推测的? 思索的?投机的
impressionist	n.印象主义者
pilot	n.飞行员? 领航员?adj.试验性的?n.飞行员，领航员；领导人?vt.驾驶， 领航； 试行， 试用； 使通过， 引导
flour	n.面粉
silica	n.[化]硅石?n.硅石， 硅土； 二氧化硅
deaf	adj.聋的
bureau	n.局，办事处?n.局， 署； 办公室； 机构
rudimentary	adj.基本的?初步的?未充分发展的?adj.未充分发展的， 原始的； 基本的， 基础的
opening	n.开口? 开始
otter	n.水獭? 水獭皮
let	v.允许，让
illustration	n.说明? 例证
borrow	v.借? 借入
grassland	n.牧草地? 草原
purely	adv.仅仅；简单地
deciduous	adj.每年落叶的? 非永久性的?adj.落叶的； 非永久的， 短暂的
scene	n.场面? 情景?n.地点， 现场； 景色； 一场， 一个镜头； 场面； 活动领域， 圈子
fifth	adj.第五的
broadside	n.(船)舷侧
mood	n.心情? 情绪
tethys	n.古地中海? 特提斯海
decipher	v.译解?vt.破译
broadway	n& a.百老汇大街(的)
dislike	v.讨厌? 不喜欢
unfamiliar	adj.不熟悉的
shortly	adv.立刻? 马上?adv.不久； 简要地； 不耐烦地
raven	n.大乌鸦?adj.乌黑光亮的?n.渡鸦
dive	v.潜水? 跳水?vi&n.跳水； 潜水
swarm	n.蜂群? 一大群?vi.云集?v.密集， 云集； 成群地飞行?n.群，一大群
commuter	n.通勤者? 每日往返上班者
movable	adj.活动的，变动的
bind	v.捆绑(扎)；结(粘)合
tear	n.眼泪 v撕(裂)
weed	n.野草? 杂草?n.杂草； 水草
tidal	adj.潮汐的? 定时涨落的
eusocial	adj.(昆虫)完全社会性的
gardening	n.园艺
fat	adj.肥胖的
oliver	n.脚踏铁槌
turkey	n.土耳其?火鸡?n.火鸡； 失败
intensively	adv.加强地? 集中地
reheat	v.再热
via	prep.经?通过?经由
financially	adv.财政上(金融上)
diversification	n.变化? 多样化
sedentary	adj.久坐的?固定不动的?adj.久坐的， 固定不动的； 土生的， 不迁徙的； 沉积的
outwork	n.外包活
eohippus	n.<古生>始祖马
conductor	n.领导者? 经理
nutritionally	adv.在营养上? 营养方面
wake	v.醒来?唤醒
worm	n.虫，蠕虫
mythical	adj.神话的? 虚构的
handcraft	n.手工? 手艺
wage	n.工资 v发动
porosity	n.多孔性
understory	n.林下叶层
shaman	n.萨满教的道士? 僧人或巫师
stylize	v.使风格化? 仿效的风格
pipeline	n.管道? 传递途径
renew	v.更新? 恢复?vt.使…续期； 重新开始； 重申； 修复
dandelion	n.蒲公英
gate	n.大门
substantially	adv.大体上；本质上
internally	adv.内部地? 国内地
breeze	n.微风 vi吹微风?逃走?vi.飘然移动?n.微风，和风
poorly	adj.不舒服的 ad贫穷地
popularly	adv.大众地? 通俗地
devoid	adj.全无的? 缺乏的?adj.全无的
Guinea	n.几内亚
landform	n.地形? 地貌
mistake	n.错误?v.弄错?误解
pinpoint	v.确定?精确地定位?adj.十分精确的?adj.准确的， 精确的?vt.精准定位；准确解释?n.极小的范围；光点
rancher	n.大牧场主? 大牧场工人?n.牧场主； 大农场工人
mosaic	n.镶嵌细工，马赛克?n.马赛克； 镶嵌工艺
maturation	n.化脓? 成熟
recruitment	n.征募新兵? 补充
preschooler	n.(美)学龄前儿童
pale	adj.苍白的；淡的 vi变得苍白，变得暗淡?vi.变得苍白， 变得暗淡?adj.苍白的；淡色的；暗淡的，微弱的
loft	n.阁楼
practitioner	n.从业者? 开业者
photosynthesis	n.光合作用
flagellum	n.[动]鞭毛?n.[昆] 鞭毛；鞭子；鞭状匍匐枝
cloth	n.布? 织物
phytoremediation	n.植物除污? 植物治理法
chlorosis	n.萎黄病? 变色病
daylight	n.日光? 白昼?n.日光； 白昼
piecework	n.计件工作
luck	n.运气? 好运
moment	n.片刻，瞬间
Polynesian	n.波利尼西亚人? 波利尼西亚语
eighteen	num.十八
lumber	n.木材?木料?v.笨拙地移动；迫使担负?n.木材， 木料； 杂物
monument	n.纪念碑?n.纪念碑； 历史遗迹
garrison	n.守备队? 驻地
starve	v.(使)饿死
crevice	n.裂缝?n.缺口， 裂缝
port	n.港口
scavenger	n.清道夫?食腐动物?n.捡破烂的人， 拾荒者； 食腐动物
antibiotic	n.抗生素?adj.抗菌的
legume	n.豆类? 豆荚
cohesion	n.结合? 凝聚?n.内聚力； 凝聚力； 团结， 结合
bag	n.袋子
stave	n.桶材；窄板 v敲破
fungal	adj.真菌的
synthesize	v.综合? 合成?vt.合成； 综合
magnetosphere	n.磁气圈
chisel	n.凿子 v砍凿
curve	n&v.曲线?弯曲?v.弄弯，成曲线形?n.曲线； 曲线图； 弯曲
bloodhound	n.一种大侦探犬
rental	n.租金额?adj.租用的；出租的?n.租金额； 租赁， 出租
informal	adj.不正式的
measurable	adj.可测量的
tannin	n.[化]丹宁酸
disagree	v.不一致? 不适宜
joint	n.关节；接头?adj.连接的； 共同的， 共有的， 联合的?n.关节，骨节；接头，接合处
tourism	n.旅游业? 观光
woody	adj.多树木的?木质的
card	n.纸牌? 卡片
ownership	n.所有权? 物主身份
prehistory	n.史前时代? 史前学
centralize	v.集聚? 集中
stony	adj.多石的? 无情的
steep	adj.陡峭的?急剧的?adj.陡的，陡峭的；急剧的；过高的?v.浸泡； 沉浸
evening	n.傍晚? 晚间
depart	v.离开，出发?vi.离开； 背离
consistently	adv.一致地；始终如一地
cajun	n.移居美国路易斯安纳州的法人后裔
intrinsically	adv.内在地? 固有地
rod	n.杆? 棒?n.杆， 棒
bread	n.面包? 生计
geologically	adv.地质学上
gratify	v.使满足?vt.使满意， 使高兴； 满足
crane	n.起重机
ledge	n.岩架?岩石突出部?n.突出部分； 暗礁
knife	n.刀? 餐刀
cowboy	n.牧童；牛仔
maritime	adj.海上的? 海事的?adj.海的， 海事的； 航海的
vastly	adv.巨大地；广阔地
bicycle	n.脚踏车? 自行车
shellfish	n.贝? 甲壳类动物?n.贝类， 有壳的水生动物
dy	n.[化]镝(=dysprosium)
rub	v.擦?擦掉?n&v.擦， 摩擦
beat	v.打；战胜?v.打拍子，指挥；敲打；打败，胜过；跳动?adj.疲惫的?n.跳动；节拍，节奏；有规律的敲击
fan	n.(风)扇 vt扇，煽动
agriculturalist	n.农学家
cooperate	v.合作? 协作
adorn	v.装饰?vt.装饰， 装扮
Pakistan	n.巴基斯坦(南亚国家)
leap	v&n.跳跃?vi.跳跃； 急速行动； 骤变； 激增?n.跳跃；骤变；激增
inferential	adj.推理的? 推论的
crown	n.王冠，冕?v.加冕； 使圆满， 使完美?n.王冠；花冠
mysterious	adj.神秘的
audio	adj.音频的?声音的?adj.音频的； 声音的
planetarium	n.天文馆
spider	n.蜘蛛?三脚架
aristocratic	adj.贵族政治的?贵族的?adj.贵族的， 有贵族气派的
parrot	n.鹦鹉
bush	n.矮树丛?n.灌木； 荒野
radar	n.雷达?电波探测器?n.雷达
conductance	n.电导? 导率
rainforest	n.雨林
endocrine	n.内分泌
hemlock	n.铁杉?毒芹
determination	n.决心? 果断
exclusively	adv.专门地，排除其他地
quotation	n.引文?引语?n.引文， 引语， 语录； 报价
professor	n.教授
handful	n.一把? 少数?n.一把； 少数人
reasonably	adv.有理地；合理地
pink	n&a.粉红色(的)
ceiling	n.天花板? 上限
commensalism	n.共栖
parasitism	n.寄生状态? 寄生病
outdoor	adj.室外的? 户外的
blanket	n.毯子?n.毯子； 覆盖物
boredom	n.厌倦
somewhere	adv.某处? 在某处
happiness	n.幸福? 快乐
county	n.县? 郡
botany	n.植物学?n.植物学； 植物
feminist	n.男女平等主义者?n.女权主义者
radium	n.[化]镭
warrior	n.勇士，武士
gentle	adj.温和的? 文雅的
swift	adj.迅速的?敏捷的?adj.敏捷的，速度快的?n.雨燕
sleepy	adj.困乏的?欲睡的
weakness	n.虚弱?弱点
outgoing	adj.外向的
dispute	n&v.争论?争端?v.争论； 对…表示异议?n.争论；纠纷
Baltic	n.a波罗的海的? 波罗的语的
male	adj.男的? 雄的?adj.雄的，公的；
hereditary	adj.世袭的?遗传的?adj.遗传的； 可继承的， 世袭的
strut	n.高视阔步?v.昂首阔步地走
prowl	v.巡游
hat	n.帽子 vt戴帽子
avenue	n.林荫道?方法?n.途径， 手段； 大街
sugar	n.糖
ethic	n.道德规范?n.伦理；道德体系
individualistic	adj.个人主义的
stylistic	adj.风格上的?文体上?adj.风格上的， 文体上的
eka	n.准(第一)
convenient	adj.便利的?方便的
geography	n.地理(学)
bottle	n.瓶子 vt用瓶装
unpleasant	adj.不愉快的；不合意的
softwood	n.软木材
arsenic	n.[化]砷? 砒霜
bean	n.豆? 豆形果实
slate	n.板岩?石板
reptilian	n.爬行类动物
overirrigation	n.过量灌溉
bold	adj.大胆的? 无礼的?adj.大胆的； 冒失的； 粗体的； 醒目的
file	n.文档 vt登记备案 ?提出
honeybee	n.蜜蜂
satiric	adj.讽刺的?挖苦的?adj.讽刺的， 嘲讽的
starvation	n.饥饿? 饿死
personally	adv.亲自；就个人来说
spruce	n.云杉
diffusion	n.传播，散布?n.散布， 扩散； 传播
whenever	conj.无论何时，随时
stiffen	v.弄硬；加强?v.变僵硬； 变坚定， 变强硬
fetus	n.胎儿
feeder	n.饲养员
reminder	n.提醒物；暗示
foodstuff	n.食品? 粮食
pine	n.松(树) vi消瘦?vi.憔悴； 难过， 悲伤?n.松树
informant	n.通知者? 告密者?n.提供消息或情报的人， 线人； 提供资料的人； 合作者
cedar	n.雪松
vanish	v.消失?vi.消失； 灭绝
slab	n.厚板，平板
coexist	v.共存?vi.共存
moose	n.[动] 驼鹿
cod	abbr.货到付款 (Cash on Delivery) n鳕鱼
frontal	n.前沿
hexagonal	adj.六角形的?六边的
journal	n.定期刊物? 杂志?n.期刊， 杂志； 日记， 日志
sizable	adj.相当大的
mineralization	n.矿化作用?成矿作用
krypton	n.[化] 氪
chlorophyll	n.[生化]叶绿素
xenon	n.氙(惰性气体的一种?元素符号Xe)
coil	v.盘绕? 卷?v.盘绕，卷?n.卷； 线圈
penicillin	n.[微]青霉素（一种抗菌素，音译名为盘尼西林）?n.青霉素， 盘尼西林
homestead	n.家宅，宅基?n.家宅， 农庄； 宅地
prestigious	adj.享有声望的
servant	n.仆人
imitative	adj.仿制的?模仿的
lesson	n.功课
incubate	v.孵卵?v.孵化； 培育； 潜伏
hectare	n.公顷（等于1万平方米）
chocolate	n.巧克力
creator	n.创建者? 创作者
dirt	n.污垢? 泥土
Asian	n&a.亚洲(的)? 亚洲人(的)
infrastructure	n.下部构造?基础下部组织?n.基础设施， 基础结构
novelist	n.(长篇)小说家
peruvian	n&a.秘鲁人(的)
static	adj.静态的? 静止的?adj.静态的， 静止的； 静电的； 静力的?n.静电噪音；静电；[-s]静力学
osprey	n.白色的羽毛? 鱼鹰
Scotland	n.苏格兰(英国的一部分?在不列颠北部)
underneath	adv.在下面 prep在的下面?adv.在下面?prep.在…下面
pillar	n.柱子? 栋梁
someone	pron.有人? 某人
kneel	v.跪下
huckleberry	n.越橘类
elk	n.麋鹿
darken	v.(使)变暗
suffer	v.遭受? 经历
jaw	n.颚?下巴?n.颌，颚；
historically	adv.历史上地
disorient	v.使失去方向感? 使迷惑
anthocyanin	n.[植]花青素? [化]花色醣苔
acidic	adj.酸的?酸性的
elder	n.年长者? 老人
anyone	pron.任何一个
fingerboard	n.键盘
watercraft	n.船只
buildup	n.集结? 增长
varnish	n.清漆；光泽?v.涂清漆，使光亮?vt.上清漆?n.清漆
cop	n.警官? 巡警
symbiosis	n.[生]共生(现象)?合作关系
presidential	adj.总统的
gut	n.内脏
Russia	n.俄罗斯
powder	n.粉(末) v搽粉?撒粉?n.粉， 粉末； 散剂； 火药， 炸药
organizational	adj.组织的
abruptly	adv.突然地；粗鲁地
administrative	adj.管理的，行政的
hypothetical	adj.假说的，臆说的?adj.假设的
pastoral	adj.田园生活的，宁静的
overtime	n.超时?adv.加班?adj.超时的， 加班的
interglacial	adj.间冰期的
ahead	a&ad.在前? 向前
lamp	n.灯
detractor	n.诽谤者
timescale	n.时标? 时间量程
sailfish	n.旗鱼
marlin	n.枪鱼
swordfish	n.旗鱼
renewal	n.更新? 恢复
false	adj.错误的；假的
Eurasian	adj.欧亚的? 欧亚人的
dull	adj.乏味的；阴沉的?adj.乏味的， 单调的； 迟钝的； 无光泽的； 萧条的； 阴沉的， 昏暗的
fortunate	adj.幸运的? 侥幸的
